year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	03	16	12	53	Mowilag	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	04	10	18	09	05	EnDristON	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	04	10	18	09	05	EnDristON	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	04	10	18	09	09	EnDristON	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	04	16	02	13	09	__Wildfire_	sharonclaws	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2019	04	16	02	13	10	__Wildfire_	sharonclaws	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2019	04	16	02	13	10	__Wildfire_	sharonclaws	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2019	04	16	02	13	11	__Wildfire_	sharonclaws	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2019	04	16	02	13	12	__Wildfire_	sharonclaws	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2019	04	16	02	13	12	__Wildfire_	sharonclaws	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2019	04	16	02	13	13	__Wildfire_	sharonclaws	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2019	04	16	02	13	14	__Wildfire_	sharonclaws	Dandelion	5.0	130.0	26	world	[8, 59, 22]
2019	04	20	23	53	26	Shahayhay	sharonclaws	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2019	04	30	01	00	04	daboogaoogaman	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	05	04	07	15	17	K9us	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	05	04	07	15	32	K9us	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	05	09	23	28	05	daboogaoogaman	sharonclaws	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2019	05	09	23	29	57	daboogaoogaman	sharonclaws	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2019	05	09	23	29	57	daboogaoogaman	sharonclaws	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2019	06	01	08	01	23	magemagemege	sharonclaws	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2019	06	16	10	56	39	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	40	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	41	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	42	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	42	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	43	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	43	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	44	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	45	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	45	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	46	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	47	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	47	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	48	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	48	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	06	16	10	56	49	NiCe69	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	07	11	15	27	26	Dredhounds	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	07	11	15	27	27	Dredhounds	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	07	11	15	27	27	Dredhounds	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	07	11	15	27	28	Dredhounds	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	07	11	15	27	29	Dredhounds	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	07	11	15	27	29	Dredhounds	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	07	11	15	27	30	Dredhounds	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2019	07	11	15	27	34	Dredhounds	sharonclaws	Dandelion	5.0	5.0	1	world	[8, 59, 22]
2020	02	02	00	47	04	Haksndot	Vallenius	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2020	02	02	00	47	05	Haksndot	Vallenius	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2020	02	02	00	47	06	Haksndot	Vallenius	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2020	02	02	00	47	07	Haksndot	Vallenius	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2020	02	02	00	47	07	Haksndot	Vallenius	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2020	02	02	00	47	08	Haksndot	Vallenius	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2020	02	02	00	47	09	Haksndot	Vallenius	Dandelion	5.0	320.0	64	world	[8, 59, 22]
2020	02	02	00	47	10	Haksndot	Vallenius	Dandelion	5.0	30.0	6	world	[8, 59, 22]
